TEAM;NUMBER;NAME;GAMES PLAYED;GOALS;ASSISTS;PIM
Visby-Roma HK Ungdom;30;Lisa Pettersson;2;0;0;0
Visby-Roma HK Ungdom;31;Rufus Boman;2;0;0;0
Visby-Roma HK Ungdom;23;James Ahlqvist;2;2;0;0
Visby-Roma HK Ungdom;24;Max Mörk;1;0;0;0
Visby-Roma HK Ungdom;18;Melker Niklasson;2;0;1;0
Visby-Roma HK Ungdom;19;Billy Öhman;2;1;1;0
Visby-Roma HK Ungdom;15;Edvin Gardell;2;0;1;0
Visby-Roma HK Ungdom;2;Joel Johansson;1;0;0;0
Visby-Roma HK Ungdom;4;Loke Mangard;1;0;0;0
Visby-Roma HK Ungdom;22;Devin Wahlgren;2;0;0;0
Visby-Roma HK Ungdom;12;Tristan Meyer Bergström;1;0;0;0
Visby-Roma HK Ungdom;13;Leo Fadeel Jonsson;2;0;0;0
Visby-Roma HK Ungdom;11;Lukas Oredsson Linde;2;0;0;0
Visby-Roma HK Ungdom;9;Levi Petersson;2;1;0;0
Visby-Roma HK Ungdom;5;Theodor Pettersson;2;0;1;0
Visby-Roma HK Ungdom;21;Norton Leissner;1;0;0;0
FOC Farsta IF;11;Nils Göthe;2;0;1;0
FOC Farsta IF;16;Sixten Eriksson;2;1;0;0
FOC Farsta IF;24;Theo Karlsson;2;0;1;0
FOC Farsta IF;15;Viktor Cameron;1;0;0;0
FOC Farsta IF;12;Edvin Österman;2;0;0;0
FOC Farsta IF;17;Sixten Laurin;2;2;2;0
FOC Farsta IF;5;Bonham Harada;2;1;0;0
FOC Farsta IF;13;Wilhelm Lindroth;2;0;0;0
FOC Farsta IF;8;Loui Oldéen;1;0;0;0
FOC Farsta IF;3;William Bozzi;1;1;0;0
FOC Farsta IF;20;Sixten Hedstrand;1;0;2;0
FOC Farsta IF;19;Theo Löfström;2;2;0;0
FOC Farsta IF;18;Estyn Jackson;1;0;0;0
FOC Farsta IF;7;Wilgot Mossberg;1;0;2;0
FOC Farsta IF;30;Elliot Forsman Nordgren;1;0;0;0
FOC Farsta IF;25;Noel Dejfors;1;0;0;0
FOC Farsta IF;10;Razmus Bruzelius;1;0;0;0
FOC Farsta IF;2;Emil Dolk Rinon;1;0;0;0
FOC Farsta IF;9;Liam Engström;1;0;0;0
FOC Farsta IF;14;William Svanström;1;1;0;0
FOC Farsta IF;21;Gustav Lundin;1;0;1;0
FOC Farsta IF;15;Jacob Ahnlund;1;2;2;0
FOC Farsta IF;6;Valdemar Lindgren;1;2;1;0
VIS;4;Loke Mangard;0;0;0;2
