TEAM;NUMBER;NAME;GAMES PLAYED;GOALS;ASSISTS;PIM
Brynäs IF;61;Collin Delia;27;0;1;0
Brynäs IF;45;Damian Clara;34;0;0;0
Brynäs IF;28;Johannes Kinnvall;33;10;17;0
Brynäs IF;5;Michal Kempny;25;3;6;0
Brynäs IF;33;Jakob Silfverberg;34;14;16;0
Brynäs IF;10;Johan Larsson;34;8;14;0
Brynäs IF;18;Anton Rödin;30;9;15;0
Brynäs IF;27;Mattias Norlinder;34;1;4;0
Brynäs IF;3;Christian Djoos;18;0;3;0
Brynäs IF;71;Axel Jonsson-Fjällby;34;4;4;0
Brynäs IF;19;Nicklas Bäckström;33;2;20;0
Brynäs IF;23;Oskar Lindblom;31;7;6;0
Brynäs IF;29;Axel Andersson;27;6;5;0
Brynäs IF;14;Robert Hägg;34;0;6;0
Brynäs IF;52;Jack Kopacka;27;4;6;0
Brynäs IF;36;Linus Ölund;33;6;7;0
Brynäs IF;81;Kieffer Bellows;33;6;8;0
Brynäs IF;24;Aron Dahlqvist;12;0;0;0
Brynäs IF;41;Greg Scott;29;3;2;0
Brynäs IF;20;Tyler Vesel;31;0;3;0
Brynäs IF;47;Lucas Pettersson;23;9;4;0
Brynäs IF;17;"Michal              (LW) Svrcek";10;0;0;0
Brynäs IF;2;Victor Raftheim Hedin;26;0;0;0
Brynäs IF;8;Bobby Trivigno;32;4;13;0
Brynäs IF;47;"Lucas              (LW) Pettersson";3;0;0;0
Brynäs IF;30;Oscar Westman;1;0;0;0
Brynäs IF;81;"Kieffer              (LW) Bellows";1;0;0;0
Brynäs IF;17;Michal Svrcek;2;0;0;0
Brynäs IF;38;"Gustav              (RW) Hillström";7;0;0;0
Brynäs IF;38;Gustav Hillström;11;0;1;0
Brynäs IF;20;"Tyler              (RW) Vesel";2;0;0;0
Brynäs IF;22;"Leo              (RW) Sundqvist";9;0;0;0
Brynäs IF;53;Luke Witkowski;10;0;0;0
Brynäs IF;15;Simon Bertilsson;8;0;1;0
Brynäs IF;31;Erik Källgren;8;0;0;0
